"featureType","siteId","plotId","plotLength_metres","plotWidth_metres","latitude","longitude","startVisitDate","endVisitDate","phenomenonTime","standBiomass_tonnesPerHectare"
"plant community","Robson Creek Rainforest","Robson Creek, core1ha","100 m ","100 m ",-17.12141,145.62994,"24/9/2010","13/10/2010","24/9/2010",471.6071945
"plant community","Robson Creek Rainforest","Robson Creek, core1ha","100 m ","100 m ",-17.12141,145.62994,"15/6/2015","15/7/2015","15/6/2015",505.924491
"plant community","Robson Creek Rainforest","Robson Creek, core1ha","100 m ","100 m ",-17.12141,145.62994,"15/6/2019","18/7/2019","15/6/2019",451.9494023
"plant community","Robson Creek Rainforest","Robson Creek, ha 1","100 m ","100 m ",-17.122324,145.629947,"29/10/2009","4/6/2010","29/10/2009",374.6241215
"plant community","Robson Creek Rainforest","Robson Creek, ha 10","100 m ","100 m ",-17.1212604,145.6331068,"10/8/2011","4/11/2011","10/8/2011",413.3714481
"plant community","Robson Creek Rainforest","Robson Creek, ha 11","100 m ","100 m ",-17.120513,145.629959,"8/9/2011","13/10/2011","8/9/2011",370.0266781
"plant community","Robson Creek Rainforest","Robson Creek, ha 12","100 m ","100 m ",-17.12047329,145.6303368,"13/1/2011","21/2/2011","13/1/2011",414.118077
"plant community","Robson Creek Rainforest","Robson Creek, ha 13","100 m ","100 m ",-17.1201982,145.6323841,"21/2/2011","9/5/2011","21/2/2011",527.2319896
"plant community","Robson Creek Rainforest","Robson Creek, ha 14","100 m ","100 m ",-17.120529,145.632779,"29/11/2011","10/1/2012","29/11/2011",429.7356361
"plant community","Robson Creek Rainforest","Robson Creek, ha 15","100 m ","100 m ",-17.12053688,145.633717,"4/11/2011","29/11/2011","4/11/2011",402.3150522
"plant community","Robson Creek Rainforest","Robson Creek, ha 16","100 m ","100 m ",-17.1196053,145.629965,"14/10/2011","21/11/2011","14/10/2011",404.6614313
"plant community","Robson Creek Rainforest","Robson Creek, ha 17","100 m ","100 m ",-17.1196132,145.6309048,"22/11/2011","12/2/2012","22/11/2011",494.6272979
"plant community","Robson Creek Rainforest","Robson Creek, ha 18","100 m ","100 m ",-17.11962122,145.6318439,"2/3/2012","18/4/2012","2/3/2012",575.8320414
"plant community","Robson Creek Rainforest","Robson Creek, ha 19","100 m ","100 m ",-17.1196282,145.6327859,"10/1/2012","19/6/2012","10/1/2012",384.7391851
"plant community","Robson Creek Rainforest","Robson Creek, ha 2","100 m ","100 m ",-17.122329,145.630886,"18/6/2010","20/7/2010","18/6/2010",410.7662762
"plant community","Robson Creek Rainforest","Robson Creek, ha 20","100 m ","100 m ",-17.1196325,145.6337241,"22/6/2012","26/7/2012","22/6/2012",403.9066668
"plant community","Robson Creek Rainforest","Robson Creek, ha 21","100 m ","100 m ",-17.11871145,145.6299722,"12/7/2012","22/11/2012","12/7/2012",373.6056914
"plant community","Robson Creek Rainforest","Robson Creek, ha 22","100 m ","100 m ",-17.11871386,145.6309109,"14/11/2012","4/12/2012","14/11/2012",436.9385915
"plant community","Robson Creek Rainforest","Robson Creek, ha 23","100 m ","100 m ",-17.11871957,145.6318519,"30/10/2012","19/11/2012","30/10/2012",463.3221374
"plant community","Robson Creek Rainforest","Robson Creek, ha 24","100 m ","100 m ",-17.11872468,145.6327951,"18/4/2012","19/6/2012","18/4/2012",537.7802255
"plant community","Robson Creek Rainforest","Robson Creek, ha 25","100 m ","100 m ",-17.11872987,145.6337341,"21/6/2012","24/10/2012","21/6/2012",397.4951077
"plant community","Robson Creek Rainforest","Robson Creek, ha 3","100 m ","100 m ",-17.122332,145.631827,"20/7/2010","9/8/2010","20/7/2010",383.7643053
"plant community","Robson Creek Rainforest","Robson Creek, ha 4","100 m ","100 m ",-17.121992,145.632939,"11/8/2010","2/9/2010","11/8/2010",319.7301992
"plant community","Robson Creek Rainforest","Robson Creek, ha 5","100 m ","100 m ",-17.12206619,145.6335039,"7/9/2010","24/9/2010","7/9/2010",427.605882
"plant community","Robson Creek Rainforest","Robson Creek, ha 7","100 m ","100 m ",-17.12141708,145.631305,"13/10/2010","11/1/2011","13/10/2010",497.3838348
"plant community","Robson Creek Rainforest","Robson Creek, ha 8","100 m ","100 m ",-17.121428,145.631833,"16/5/2011","5/7/2011","16/5/2011",394.0237957
"plant community","Robson Creek Rainforest","Robson Creek, ha 9","100 m ","100 m ",-17.1212652,145.6325389,"7/7/2011","10/8/2011","7/7/2011",388.6934895
